profile,beta_alpha,beta_beta,seed,framework,throughput,recovery_time,steady_E_GMI,success_rate
medium_low,2,2,2,ISF,17.498,,0.06343433877328197,0.06615384615384616
medium_low,2,2,3,ISF,16.004,,0.05488453385057314,0.05931623931623932
medium_low,2,2,4,ISF,15.296,,0.06322165679945857,0.05885714285714285
medium_low,2,2,5,ISF,18.004,,0.06561736918809799,0.06508771929824561
medium_low,2,2,6,ISF,15.716,,0.06500012903736387,0.06785046728971962
medium_low,2,2,7,ISF,18.114,,0.06256219265573643,0.06188034188034188
medium_low,2,2,8,ISF,16.288,,0.06681290960252578,0.06571428571428571
medium_low,2,2,9,ISF,16.806,,0.06613695633766144,0.06490196078431372
medium_low,2,2,10,ISF,15.262,,0.06043921514664968,0.06220183486238531
medium_low,2,2,11,ISF,16.354,,0.0640841116939888,0.05837837837837838
medium_low,2,2,12,ISF,17.478,,0.06472792400221454,0.07304347826086956
medium_low,2,2,13,ISF,17.178,,0.06508060944701427,0.06760330578512397
medium_low,2,2,14,ISF,17.264,,0.06692637739360582,0.06504854368932038
medium_low,2,2,15,ISF,16.922,,0.06208419182705027,0.06490566037735851
medium_low,2,2,16,ISF,17.396,,0.06810390217258563,0.06298245614035086
medium_low,2,2,17,ISF,16.996,,0.06285383102742785,0.06271186440677966
medium_low,2,2,18,ISF,16.628,,0.06180898050060401,0.06037735849056603
medium_low,2,2,19,ISF,15.898,,0.06318932988764783,0.058782608695652175
medium_low,2,2,20,ISF,15.83,,0.06533893125027518,0.06454545454545454
medium_low,2,2,21,ISF,15.078,,0.05871881796133469,0.06336283185840708
medium_low,2,2,22,ISF,17.618,,0.06334301892620159,0.06081967213114753
medium_low,2,2,23,ISF,16.304,,0.0664156188574292,0.0636036036036036
medium_low,2,2,24,ISF,16.25,,0.061713107283673754,0.06212389380530973
medium_low,2,2,25,ISF,16.47,,0.05452660462682553,0.06290322580645161
medium_low,2,2,26,ISF,16.53,,0.06124553549301935,0.05982456140350877
medium_low,2,2,27,ISF,15.174,,0.06016812826852597,0.06442477876106194
medium_low,2,2,28,ISF,16.288,,0.06576180397581716,0.06938053097345133
medium_low,2,2,29,ISF,17.324,,0.07020241915175437,0.07
medium_high,3,2,0,ISF,23.478,,0.08189336839320656,0.08075471698113207
medium_high,3,2,1,ISF,25.35,,0.08327967453324447,0.08055045871559634
medium_high,3,2,2,ISF,22.872,,0.07704775614649695,0.07148148148148148
medium_high,3,2,3,ISF,23.108,,0.07755413532579762,0.0778512396694215
medium_high,3,2,4,ISF,23.998,,0.07860277388094696,0.0708256880733945
medium_high,3,2,5,ISF,24.954,,0.08184256072126177,0.08178571428571431
medium_high,3,2,6,ISF,25.008,,0.08292610532282392,0.07130434782608695
medium_high,3,2,7,ISF,25.996,,0.07744508503263202,0.07672413793103448
medium_high,3,2,8,ISF,23.662,,0.0819592932412539,0.07578947368421052
medium_high,3,2,9,ISF,26.334,,0.08403623392893567,0.08036697247706423
medium_high,3,2,10,ISF,20.522,,0.07509070345482692,0.07679245283018868
medium_high,3,2,11,ISF,23.106,,0.07383024279437218,0.06559322033898304
medium_high,3,2,12,ISF,22.654,,0.07804184111024487,0.07680672268907564
medium_high,3,2,13,ISF,25.416,,0.08757754728809958,0.07575221238938053
medium_high,3,2,14,ISF,24.822,,0.09605868029424865,0.08891089108910892
medium_high,3,2,15,ISF,24.456,,0.08531221589603014,0.08485981308411215
medium_high,3,2,16,ISF,23.11,,0.08187235936393414,0.07352380952380953
medium_high,3,2,17,ISF,24.854,,0.0858928447888628,0.07945454545454546
medium_high,3,2,18,ISF,24.676,,0.07948148366053634,0.0750943396226415
medium_high,3,2,19,ISF,23.462,,0.07537330136340911,0.07356521739130435
medium_high,3,2,20,ISF,24.842,,0.07969214150096579,0.07203703703703704
medium_high,3,2,21,ISF,21.1,,0.07141197438546636,0.07351351351351351
medium_high,3,2,22,ISF,24.968,,0.0780503415272292,0.08333333333333331
medium_high,3,2,23,ISF,22.888,,0.0828809757563424,0.0819047619047619
medium_high,3,2,24,ISF,24.064,,0.07325669884242453,0.07321100917431193
medium_high,3,2,25,ISF,26.658,,0.08278637559195526,0.0731578947368421
medium_high,3,2,26,ISF,23.972,,0.07763176017100158,0.07603305785123968
medium_high,3,2,27,ISF,21.818,,0.07886734368706178,0.0771698113207547
medium_high,3,2,28,ISF,24.526,,0.08002605070705762,0.0786086956521739
medium_high,3,2,29,ISF,26.982,,0.10904883661953838,0.10291666666666666
baseline_high,4,2,0,ISF,31.23,,0.10715021543183306,0.0969811320754717
baseline_high,4,2,1,ISF,37.724,,0.13783113864356406,0.11888888888888889
baseline_high,4,2,2,ISF,30.124,,0.09377000091006739,0.0891588785046729
baseline_high,4,2,3,ISF,31.512,,0.08471382356826947,0.08224000000000001
baseline_high,4,2,4,ISF,30.558,,0.08402181711221976,0.07894736842105264
baseline_high,4,2,5,ISF,36.48,,0.11313877743450867,0.10214285714285712
baseline_high,4,2,6,ISF,34.882,,0.09256251807671012,0.08479338842975206
baseline_high,4,2,7,ISF,36.318,,0.10365278065682812,0.10478632478632477
baseline_high,4,2,8,ISF,33.078,,0.10436658001698268,0.09947368421052633
baseline_high,4,2,9,ISF,34.402,,0.10917556383844224,0.09724770642201834
baseline_high,4,2,10,ISF,30.288,,0.10446289254047779,0.0992452830188679
baseline_high,4,2,11,ISF,30.56,,0.09151830226780891,0.08290598290598289
baseline_high,4,2,12,ISF,31.276,,0.09681990064828316,0.08974789915966387
baseline_high,4,2,13,ISF,34.134,,0.11104618899772767,0.09575221238938053
