population_size,seed,success_rate,volume_success_rate,mean_operational_readiness,D1,D2,D3,D4,D5,SVC,E_GMI_DBL,E_GMI_DMM,E_GMI_ISF
20,4028,0.14,0.14280898876404494,0.13417005617439895,0.35840544087585213,0.005178000000000003,0.006631000000000002,0.005317000000000001,0.29531883999614267,0.4500000000442501,0.13732438621838441,0.11808423779222461,0.14963817217920972
20,4029,0.13049999999999998,0.1275085324232082,0.13045168027840484,0.35157375664233664,0.005716000000000004,0.0052265,0.006178,0.2835641447496876,0.44999999995241113,0.1338521608730373,0.1151306438312766,0.1470952657986772
50,4000,0.1454,0.14733409610983983,0.1379494833030213,0.36517950233591034,0.006028000000000003,0.006856200000000003,0.006047600000000003,0.30563611417919584,0.4500000000687641,0.140926652710857,0.1211973842154038,0.1523858718919781
50,4001,0.1428,0.14039699570815448,0.13344586668055178,0.3563075211819449,0.0058696000000000035,0.007243200000000003,0.005724400000000001,0.2920846122208139,0.4499999998337528,0.1366570121286083,0.11760946412652555,0.14923740544184563
50,4002,0.12240000000000001,0.12524509803921569,0.13308275326994423,0.35610367887013283,0.005460000000000003,0.0062868,0.004779200000000001,0.29278408747958823,0.4500000001497163,0.13624873283947142,0.11712915584897983,0.14880434453695704
50,4003,0.1338,0.13830588235294117,0.14021362227042414,0.36898140744776087,0.005783600000000003,0.007285200000000004,0.006655600000000003,0.31236230390435976,0.4499999999375264,0.1430445774475942,0.12302878610703055,0.1539773918737408
50,4004,0.1328,0.1333653846153846,0.1354492360851952,0.36051463954661833,0.0050760000000000015,0.007249200000000003,0.006562400000000003,0.2978439408793577,0.450000000072785,0.13858277101855823,0.11925322960577896,0.15066484200453795
50,4005,0.1374,0.14707608695652172,0.13684167468361125,0.3626895424238527,0.005650400000000004,0.006983600000000002,0.005883200000000001,0.3030016309942034,0.45000000001708224,0.1398260702550937,0.120252343052552,0.15154151158589912
50,4006,0.13620000000000004,0.13708860759493668,0.13383130752851516,0.3573276122580243,0.005541200000000001,0.0071474000000000025,0.005289600000000001,0.2938507253845516,0.44999999990129114,0.13700515187218879,0.11786148974291154,0.14944623498018916
50,4007,0.136,0.13744483159117304,0.1353466055990581,0.3597226501342012,0.005669600000000002,0.006660400000000003,0.005965600000000003,0.29871477786108913,0.44999999990976547,0.13839699921271367,0.11902960437285497,0.15047512780392572
50,4008,0.1316,0.13260714285714284,0.13728868516927642,0.3636199671816097,0.0056476000000000035,0.007069000000000004,0.005848400000000001,0.3042584586647724,0.4500000000321702,0.1402567605951183,0.12062013581972682,0.1518628393060162
50,4009,0.13720000000000002,0.13644346871569704,0.13550453536737214,0.3596381148006485,0.006299200000000004,0.007484000000000005,0.006344000000000003,0.2977573620362122,0.4500000000175299,0.13859857300559397,0.11930294870048813,0.1507287991655039
50,4010,0.12980000000000003,0.13299526066350711,0.13680517072527265,0.36289513626864023,0.005608400000000002,0.006844000000000004,0.0057344000000000015,0.30294391735772314,0.45000000011089747,0.13980273167081855,0.12021600806202763,0.15151077900059012
50,4011,0.1454,0.14564534231200896,0.13708530335615068,0.36204537035833956,0.005940400000000004,0.01166564539511632,0.0054496,0.3003255010272974,0.450000000027808,0.1401712968227028,0.12087578849693832,0.15205275325620174
50,4012,0.1356,0.13856958762886598,0.13321492523144327,0.3562993254187128,0.006124800000000003,0.006439200000000002,0.005312,0.2918993007385035,0.4499999999868839,0.13643492646545372,0.11735277568073721,0.1490249951562813
50,4013,0.1396,0.13052205220522053,0.13528436669030183,0.3604776613058673,0.005489200000000004,0.006629000000000005,0.005597600000000001,0.2982283721456418,0.4500000000531241,0.1383968311483131,0.11901276214476782,0.15046152948105004
50,4014,0.1312,0.1327843803056027,0.13623943000910826,0.3619067722791498,0.005951200000000003,0.006204400000000002,0.005359600000000001,0.30177517776639134,0.4499999999055841,0.13924600973474616,0.11969091923337995,0.1510619122230275
50,4015,0.14220000000000002,0.12897506925207758,0.13705628036749903,0.36343238301771813,0.006472000000000005,0.006490800000000002,0.005604400000000002,0.3032818188197769,0.4500000000010772,0.1400638085773961,0.12043410252227124,0.15172809848562904
50,4016,0.1502,0.15671875000000002,0.13475261862186802,0.3593801765939046,0.005480000000000004,0.006995200000000002,0.005513200000000003,0.29639451651543547,0.45000000000151275,0.1379019016257915,0.11861873283251129,0.15011316697047575
