seed,population_size,dimension,submetric,mean
1013,50,D1,schema_pass_rate,0.4307575161919962
1013,50,D2,encryption_coverage,0.4476958224698584
1013,50,D2,normalized_breach_latency,0.5441795877919742
1013,50,D2,policy_violation_rate,0.5628006257572082
1013,50,D3,catalog_coverage,0.4402393845836899
1013,50,D3,catalog_freshness,0.47516785712487314
1013,50,D3,lineage_rate,0.44555875244053794
1013,50,D4,consent_propagation_rate,0.4302477007905607
1013,50,D4,rule_pass_rate,0.4476959948221588
1013,50,D5,api_adherence_rate,0.43660689324962293
1013,50,D5,format_translation_rate,0.4438469362815558
1013,50,D5,schema_reconciliation_rate,0.4634886533177658
1013,50,SVC,audit_trail_completeness,0.45727030518396516
1013,50,SVC,cross_border_flagging_rate,0.461292710567215
1013,50,SVC,localization_compliance_rate,0.44048846264656893
1014,50,D1,completeness_ratio,0.4363939503544802
1014,50,D1,duplicate_rate,0.5491079604318467
1014,50,D1,schema_pass_rate,0.45145922054088644
1014,50,D2,encryption_coverage,0.43777675710996156
1014,50,D2,normalized_breach_latency,0.5440468991009971
1014,50,D2,policy_violation_rate,0.5678157941362597
1014,50,D3,catalog_coverage,0.44381265709725637
1014,50,D3,catalog_freshness,0.45210544174027384
1014,50,D3,lineage_rate,0.4527593956751171
1014,50,D4,consent_propagation_rate,0.45160230268923646
1014,50,D4,rule_pass_rate,0.46934340960535187
1014,50,D5,api_adherence_rate,0.4536802052882347
1014,50,D5,format_translation_rate,0.44287383469350133
1014,50,D5,schema_reconciliation_rate,0.44390100399957094
1014,50,SVC,audit_trail_completeness,0.46994194444451454
1014,50,SVC,cross_border_flagging_rate,0.453933116107112
1014,50,SVC,localization_compliance_rate,0.44814969568739754
1015,50,D1,completeness_ratio,0.43839382411786254
1015,50,D1,duplicate_rate,0.5358592660049134
1015,50,D1,schema_pass_rate,0.43902296267102736
1015,50,D2,encryption_coverage,0.4533674003415089
1015,50,D2,normalized_breach_latency,0.5576436333040322
1015,50,D2,policy_violation_rate,0.5448347577641379
1015,50,D3,catalog_coverage,0.4755755873848496
1015,50,D3,catalog_freshness,0.45164767205352946
1015,50,D3,lineage_rate,0.4609729629099855
1015,50,D4,consent_propagation_rate,0.4465414626234704
1015,50,D4,rule_pass_rate,0.45831517311457043
1015,50,D5,api_adherence_rate,0.45213148105065926
1015,50,D5,format_translation_rate,0.4413089518469245
1015,50,D5,schema_reconciliation_rate,0.44790838470879885
1015,50,SVC,audit_trail_completeness,0.42638480460147
1015,50,SVC,cross_border_flagging_rate,0.42368799335931295
1015,50,SVC,localization_compliance_rate,0.440125678822164
1016,50,D1,completeness_ratio,0.47122198240738766
1016,50,D1,duplicate_rate,0.5470096882696907
1016,50,D1,schema_pass_rate,0.42036471784961593
1016,50,D2,encryption_coverage,0.4616877593690812
1016,50,D2,normalized_breach_latency,0.5274915774058284
1016,50,D2,policy_violation_rate,0.558367585366024
1016,50,D3,catalog_coverage,0.4769630575119108
1016,50,D3,catalog_freshness,0.4667984149182579
1016,50,D3,lineage_rate,0.4266996050084672
1016,50,D4,consent_propagation_rate,0.4300957440140161
1016,50,D4,rule_pass_rate,0.4368392153398012
1016,50,D5,api_adherence_rate,0.4175397510007158
1016,50,D5,format_translation_rate,0.44645417801296544
1016,50,D5,schema_reconciliation_rate,0.41300098195315
1016,50,SVC,audit_trail_completeness,0.4501721385015775
1016,50,SVC,cross_border_flagging_rate,0.4362228405196315
1016,50,SVC,localization_compliance_rate,0.4570627929827853
1017,50,D1,completeness_ratio,0.4312301473259231
1017,50,D1,duplicate_rate,0.5102160499187447
1017,50,D1,schema_pass_rate,0.45546208041037756
1017,50,D2,encryption_coverage,0.45100082619429754
1017,50,D2,normalized_breach_latency,0.5533851435285403
1017,50,D2,policy_violation_rate,0.5753492946844027
1017,50,D3,catalog_coverage,0.4505168811829608
1017,50,D3,catalog_freshness,0.4767366093582071
1017,50,D3,lineage_rate,0.4476710780349417
1017,50,D4,consent_propagation_rate,0.44121837911318174
1017,50,D4,rule_pass_rate,0.4400057274868462
1017,50,D5,api_adherence_rate,0.4795830359826608
1017,50,D5,format_translation_rate,0.44728817096674384
1017,50,D5,schema_reconciliation_rate,0.451484039384777
1017,50,SVC,audit_trail_completeness,0.4518172271678101
1017,50,SVC,cross_border_flagging_rate,0.4705254283220433
1017,50,SVC,localization_compliance_rate,0.45636703444799825
1018,50,D1,completeness_ratio,0.4507372055921264
1018,50,D1,duplicate_rate,0.5288561345214134
1018,50,D1,schema_pass_rate,0.4418324071794998
1018,50,D2,encryption_coverage,0.47385733207438796
1018,50,D2,normalized_breach_latency,0.5468187882563926
1018,50,D2,policy_violation_rate,0.5427751536055705
1018,50,D3,catalog_coverage,0.45014079115170064
1018,50,D3,catalog_freshness,0.4246589350584117
1018,50,D3,lineage_rate,0.42992263032647215
1018,50,D4,consent_propagation_rate,0.43442464503251615
1018,50,D4,rule_pass_rate,0.4572423213809989
1018,50,D5,api_adherence_rate,0.4461389613988759
1018,50,D5,format_translation_rate,0.43247407913205793
1018,50,D5,schema_reconciliation_rate,0.4435302492994315
1018,50,SVC,audit_trail_completeness,0.4782809087375284
1018,50,SVC,cross_border_flagging_rate,0.45344697018212665
1018,50,SVC,localization_compliance_rate,0.447506269079661
1019,50,D1,completeness_ratio,0.4434424699155204
1019,50,D1,duplicate_rate,0.5553502821673348
1019,50,D1,schema_pass_rate,0.4722467095792606
1019,50,D2,encryption_coverage,0.45494329276558226
1019,50,D2,normalized_breach_latency,0.5610961237777237
1019,50,D2,policy_violation_rate,0.5324191715877968
1019,50,D3,catalog_coverage,0.49449988356408475
1019,50,D3,catalog_freshness,0.4426520993976341
1019,50,D3,lineage_rate,0.46357561674952963
1019,50,D4,consent_propagation_rate,0.4250397432833757
1019,50,D4,rule_pass_rate,0.4358039799283048
