seed,framework,steady_state_step,pre_shock_E_GMI,post_shock_E_GMI,immediate_loss,recovery_time,recovered
6017,DMM,549,0.12503813909525993,0.12401413909525992,0.001024000000000011,1,True
6017,ISF,549,0.15571940314283267,0.15469540314283267,0.0010239999999999971,1,True
6018,DBL,599,0.14285720051818873,0.14166520051818876,0.0011919999999999709,1,True
6018,DMM,599,0.12289385958600603,0.12170185958600602,0.0011920000000000125,1,True
6018,ISF,599,0.1538476262660184,0.15265562626601836,0.0011920000000000264,1,True
6019,DBL,599,0.14411025512945064,0.14289425512945061,0.0012160000000000226,1,True
6019,DMM,599,0.12383213887046382,0.1226161388704638,0.0012160000000000226,1,True
6019,ISF,599,0.15467499855346806,0.15345899855346803,0.0012160000000000226,1,True
6020,DBL,599,0.1439803609804288,0.14268105109603582,0.001299309884392974,1,True
6020,DMM,599,0.12401034922437486,0.12271103933998187,0.0012993098843929879,1,True
6020,ISF,599,0.1549012112703721,0.15360190138597912,0.001299309884392974,1,True
6021,DBL,599,0.14626243419199636,0.14518243419199636,0.0010799999999999976,1,True
6021,DMM,599,0.12616798750505373,0.12508798750505373,0.0010799999999999976,1,True
6021,ISF,599,0.15668889077521908,0.15560889077521908,0.0010799999999999976,1,True
6022,DBL,649,0.1443723671666241,0.1432843671666241,0.0010880000000000056,1,True
6022,DMM,649,0.12420873168217435,0.12312073168217433,0.0010880000000000195,1,True
6022,ISF,649,0.15499030885715384,0.15390230885715384,0.0010880000000000056,1,True
6023,DBL,599,0.14594899018353633,0.14498099018353633,0.0009679999999999966,1,True
6023,DMM,599,0.12535052857846066,0.12438252857846066,0.0009679999999999966,1,True
6023,ISF,599,0.1559719788190333,0.15500397881903327,0.0009680000000000244,1,True
6024,DBL,549,0.14638723018862107,0.14551523018862106,0.0008720000000000117,1,True
6024,DMM,549,0.12611557191489436,0.12524357191489435,0.0008720000000000117,1,True
6024,ISF,549,0.15656921973370155,0.15569721973370154,0.0008720000000000117,1,True
6025,DBL,649,0.14475630717662966,0.1437403071766296,0.0010160000000000446,1,True
6025,DMM,649,0.1243827124452786,0.12336671244527858,0.0010160000000000169,1,True
6025,ISF,649,0.155121592801128,0.15410559280112798,0.0010160000000000169,1,True
6026,DBL,599,0.14013843098938245,0.13901043098938248,0.0011279999999999624,1,True
6026,DMM,599,0.12044598858280418,0.1193179885828042,0.0011279999999999901,1,True
6026,ISF,599,0.15171102844960477,0.15058302844960478,0.0011279999999999901,1,True
6027,DBL,599,0.14419772262010613,0.14304572262010615,0.0011519999999999864,1,True
6027,DMM,599,0.12389503508892202,0.12274303508892205,0.0011519999999999725,1,True
6027,ISF,599,0.1547212463075365,0.1535692463075365,0.0011520000000000141,1,True
6028,DBL,599,0.14495506726571372,0.14393106726571372,0.0010239999999999971,1,True
6028,DMM,599,0.12472245051900792,0.12369845051900791,0.001024000000000011,1,True
6028,ISF,599,0.15542336891263234,0.15439936891263234,0.0010239999999999971,1,True
6029,DBL,599,0.14324831250710668,0.14172031250710668,0.0015280000000000016,1,True
