seed,framework,steady_E_GMI,success_rate,D1,D4
9,ISF,0.08928093387367118,0.0728440366972477,0.041997814593337915,0.006178181802689843
10,DBL,0.014289994029379116,0.05452830188679245,0.027712183115661447,0.0026047578061618244
10,DMM,0.011740584458530393,0.05226415094339623,0.027342531423881145,0.004477118107637825
10,ISF,0.08031235160449085,0.07660377358490567,0.027257646101892186,0.004543829348783744
11,DBL,0.016568865864773477,0.05295238095238095,0.03164441121498261,0.0017069201860907622
11,DMM,0.016973634841647437,0.05085714285714287,0.03573726488988811,0.0011294018884830865
11,ISF,0.07905956043145275,0.07406779661016949,0.02482534618641864,0.003826858355918745
12,DBL,0.008749137643596671,0.04875000000000001,0.012928014101766448,0.0003768117315622222
12,DMM,0.01284610900938843,0.05071428571428571,0.020827181773089155,0.0003895199999999999
12,ISF,0.08106922180927378,0.0773109243697479,0.024623522981142662,0.002603228964336429
13,DBL,0.020123675055755262,0.056637168141592927,0.03861098530636233,0.003971234362232114
13,DMM,0.021771526796838712,0.05557522123893806,0.041468186451187224,0.014214193630543399
13,ISF,0.09365383215423823,0.07823008849557521,0.05169328202368187,0.00812302271164754
14,DBL,0.01438888299952474,0.045925925925925926,0.02494359715230215,0.0009301264123601113
14,DMM,0.013674547305949337,0.05,0.026298832524447587,0.0008063829571262922
14,ISF,0.0929441742665868,0.08884615384615384,0.042255138292655016,0.013706348483441613
15,DBL,0.015427420822572176,0.05428571428571428,0.030427067333775492,0.0009913290805666636
15,DMM,0.0160648217968889,0.05295238095238096,0.029669432358724608,0.005028208989640027
15,ISF,0.09837409354216808,0.10036036036036036,0.06335175693943385,0.008468611139477666
16,DBL,0.0049569770753936605,0.060353982300884956,0.004228604136396525,0.00030312
16,DMM,0.006603663228688811,0.05433628318584071,0.009247190132205369,0.0003529199999999999
16,ISF,0.08580285911539465,0.08695652173913043,0.04369765627030906,0.01789771521094146
17,DBL,0.011379587131751835,0.049090909090909095,0.02807747431676155,0.004241628205536144
17,DMM,0.011798330206556682,0.05290909090909091,0.03305085235003848,0.005745974005827558
17,ISF,0.11150778217397946,0.1009433962264151,0.09802817571697255,0.021246280773107154
18,DBL,0.01652219533672421,0.0568421052631579,0.03038259477743723,0.000309936
18,DMM,0.013169554343530116,0.0531578947368421,0.026843432232029615,0.00039096
18,ISF,0.08108585497551718,0.0728155339805825,0.02478460645910929,0.008891894263201172
19,DBL,0.03042412131838428,0.055882352941176466,0.07144205496023802,0.0018663415706115963
19,DMM,0.027773584663016996,0.05705882352941176,0.06592647210208526,0.0034012990550382834
19,ISF,0.08571111583285627,0.08160714285714285,0.037482034661475074,0.0009157262578889377
20,DBL,0.009798446905820591,0.05,0.012734207039609655,0.00032001600000000006
20,DMM,0.00921846498559078,0.04415094339622642,0.014604960217979333,0.00040110000000000005
20,ISF,0.0875663774368664,0.07759259259259257,0.03991665767328766,0.004944068989578991
21,DBL,0.023685931505251123,0.05271028037383176,0.0540356214069508,0.004431317849339386
21,DMM,0.01801754628458227,0.05289719626168223,0.03583843759454227,0.005860386874038481
21,ISF,0.07108105453577487,0.07171171171171171,0.008090822204024167,0.0006775
22,DBL,0.006416079282681108,0.04928571428571428,0.016524090922433034,0.00028660800000000005
22,DMM,0.004111703685693196,0.04857142857142857,0.013240439720668651,0.0003740509371820823
22,ISF,0.08231383350385853,0.07616666666666666,0.023279517766152072,0.0034638765832132675
23,DBL,0.011409073050295704,0.049909909909909914,0.028641055070438504,0.0011160333613748697
23,DMM,0.009424238220512443,0.050990990990990984,0.015272364313573174,0.0047791787022356275
23,ISF,0.10013709526772178,0.08876190476190475,0.0621145658524319,0.002161643246305717
24,DBL,0.02525625206908125,0.052641509433962265,0.05077023463185168,0.005134008985800781
24,DMM,0.01882891250628889,0.049811320754716976,0.03800716463147059,0.0025798052752984083
24,ISF,0.07901768176087243,0.07522935779816514,0.03326574606240571,0.003766729942544253
25,DBL,0.01619143657517406,0.05232142857142857,0.04157525636263888,0.011540143871813947
25,DMM,0.009775387662934454,0.053392857142857145,0.02973783474000033,0.0005164140257469392
25,ISF,0.0887131445085789,0.07456140350877191,0.049351928199179225,0.005692912889264671
26,DBL,0.010615216168399954,0.04707964601769911,0.025333284953464482,0.000329184
26,DMM,0.008382149800401268,0.05132743362831858,0.017272703431146993,0.00040541065935449096
26,ISF,0.07600981337676568,0.075,0.0209959506544314,0.0006203897857330161
27,DBL,0.003199889302468487,0.05338842975206611,0.002690004304167871,0.0002709105760166509
27,DMM,0.0031247618507116675,0.05024793388429752,0.0025835054016394177,0.000322420452119685
27,ISF,0.08888949413315282,0.08660550458715598,0.048866617412261004,0.008131849589446849
28,DBL,0.004432503896043774,0.05796610169491524,0.008212967256164895,0.000281616
28,DMM,0.0027682812789631014,0.05610169491525423,0.004921703365875275,0.00035244
28,ISF,0.08591115755884429,0.08347826086956524,0.023133445648431897,0.0044200106422033645
29,DBL,0.012435049022804836,0.05761467889908257,0.03487667956322236,0.001226338051857976
29,DMM,0.008211735440190188,0.05192660550458716,0.022057960081201314,0.0007919862178336574
29,ISF,0.12316618585811959,0.118125,0.12790148643326887,0.03136387419549101
