threshold,seed,framework,admitted_fraction,steady_E_GMI,recovery_time,success_rate
0.3,10,ISF,1.0,0.0664455785493067,,0.06886792452830189
0.3,11,DBL,1.0,0.015397668915878435,,0.052571428571428575
0.3,11,DMM,1.0,0.013350645782650813,,0.045714285714285714
0.3,11,ISF,1.0,0.07701189434051153,,0.07796610169491525
0.3,12,DBL,1.0,0.009100206173651289,,0.05249999999999999
0.3,12,DMM,1.0,0.010049671120015185,,0.05053571428571428
0.3,12,ISF,1.0,0.07432665630577422,,0.07008403361344537
0.3,13,DBL,1.0,0.014156219238394677,,0.05398230088495575
0.3,13,DMM,1.0,0.013611928855674037,,0.05238938053097345
0.3,13,ISF,1.0,0.08387981703561097,,0.07663716814159292
0.3,14,DBL,1.0,0.01024223533015085,,0.0512962962962963
0.3,14,DMM,1.0,0.01172188488576664,,0.05111111111111111
0.3,14,ISF,1.0,0.08058713318546264,,0.07884615384615384
0.3,15,DBL,1.0,0.013213917278241895,,0.048761904761904756
0.3,15,DMM,1.0,0.009818351125551121,,0.05276190476190476
0.3,15,ISF,1.0,0.08094760192427977,,0.07855855855855855
0.3,16,DBL,1.0,0.00402485401788466,,0.04601769911504425
0.3,16,DMM,1.0,0.004550337301407042,,0.04920353982300885
0.3,16,ISF,1.0,0.08031446609230551,,0.07704347826086956
0.3,17,DBL,1.0,0.011780845670357197,,0.052363636363636355
0.3,17,DMM,1.0,0.011255118864686988,,0.055999999999999994
0.3,17,ISF,1.0,0.09041485311409936,,0.08358490566037735
0.3,18,DBL,1.0,0.01528827342174117,,0.05473684210526316
0.3,18,DMM,1.0,0.008602729981820857,,0.051578947368421044
0.3,18,ISF,1.0,0.06680049428791747,,0.06737864077669901
0.3,19,DBL,1.0,0.026267059486921446,,0.05137254901960784
0.3,19,DMM,1.0,0.019309898176884697,,0.05078431372549019
0.3,19,ISF,1.0,0.07553930285214502,,0.06875
0.3,20,DBL,1.0,0.006690941525922691,,0.049245283018867915
0.3,20,DMM,1.0,0.007498961128690621,,0.049056603773584895
0.3,20,ISF,1.0,0.07432067422520669,,0.07259259259259258
0.3,21,DBL,1.0,0.0116099407850715,,0.0519626168224299
