candidate_seed_count,metric,sample_count,mean,standard_deviation,ci_lower,ci_upper,ci_width,relative_ci_width,maximum_relative_ci_width,accepted_metric
10,D4,10,0.005804080000000001,0.0002689330226407068,0.005611696905010406,0.0059964630949895965,0.0003847661899791894,0.03847661899791894,0.05,True
10,D5,10,0.303648339563581,0.0056438664831283,0.2996109606984988,0.3076857184286632,0.008074757730164394,0.026592464631190974,0.05,True
10,SVC,10,0.4499999999877856,9.087195269384151e-11,0.4499999999227797,0.4500000000527915,1.3001175783715812e-10,2.8891501742374895e-10,0.05,True
10,E_GMI_DBL,10,0.14025567112063936,0.00185853958532887,0.1389261519932545,0.1415851902480242,0.002659038254769725,0.01895850794141923,0.05,True
10,E_GMI_DMM,10,0.12064322001607904,0.0016130945419774376,0.11948928169549189,0.12179715833666618,0.0023078766411742924,0.019129766603267918,0.05,True
10,E_GMI_ISF,10,0.15189114704444304,0.001404699514818174,0.1508862855457042,0.15289600854318186,0.0020097229974776454,0.013231337287153441,0.05,True
15,success_rate,15,0.13425333333333336,0.0055828649412627655,0.1311616457798124,0.13734502088685432,0.0061833751070419,0.0460575164393825,0.05,True
15,volume_success_rate,15,0.13357587543862598,0.005433222066600167,0.13056705734691987,0.1365846935303321,0.006017636183412196,0.04505032187625164,0.05,True
15,mean_operational_readiness,15,0.1372453505937191,0.0022367677517001632,0.13600666990006,0.13848403128737818,0.0024773613873182,0.018050603365441613,0.05,True
15,D1,15,0.36363793713442666,0.004066349873146668,0.3613860676331334,0.3658898066357199,0.004503739002586534,0.012385228664746355,0.05,True
15,D2,15,0.005887680000000004,0.00038565557394427247,0.005674111061748061,0.006101248938251947,0.00042713787650388625,0.04271378765038862,0.05,True
15,D3,15,0.00718242189413862,0.000986848057751063,0.006635923655426941,0.0077289201328503,0.001092996477423359,0.1092996477423359,0.05,False
15,D4,15,0.0058032533333333336,0.0003009988653672655,0.005636565717660973,0.005969940949005694,0.00033337523134472084,0.03333752313447209,0.05,True
15,D5,15,0.30371546060669685,0.006669150483976515,0.30002220817075226,0.30740871304264145,0.007386504871889198,0.024320476992294175,0.05,True
15,SVC,15,0.4499999999985975,7.810839531111952e-11,0.4499999999553425,0.45000000004185253,8.650997512909973e-11,1.9224438917637633e-10,0.05,True
15,E_GMI_DBL,15,0.1402414744201056,0.002106643931749744,0.13907485389605295,0.14140809494415824,0.002333241048105295,0.016637311164569388,0.05,True
15,E_GMI_DMM,15,0.12062423443030408,0.0018049888234704958,0.11962466493713524,0.12162380392347293,0.001999138986337697,0.016573278129220267,0.05,True
15,E_GMI_ISF,15,0.1518738045329092,0.0015727109526703286,0.15100286623710346,0.15274474282871492,0.0017418765916114532,0.011469236561029258,0.05,True
20,success_rate,20,0.13502,0.005950639063424855,0.13223501519091202,0.13780498480908798,0.00556996961817594,0.04125292266461221,0.05,True
20,volume_success_rate,20,0.13518848742390197,0.006998317862793382,0.1319131738434088,0.13846380100439512,0.006550627160986331,0.04845551041965537,0.05,True
20,mean_operational_readiness,20,0.13765345406403826,0.0022996235626425447,0.13657719710737884,0.13872971102069767,0.002152513913318823,0.01563719507043713,0.05,True
