seed,success_rate,volume_success_rate,mean_operational_readiness,D1,D2,D3,D4,D5,SVC,E_GMI_DBL,E_GMI_DMM,E_GMI_ISF
3011,0.1322,0.13145161290322582,0.1359922433231101,0.36139653512477155,0.005932000000000004,0.006929800000000005,0.0055948000000000005,0.3001080814907789,0.44999999995458373,0.1390566660048097,0.1196006155063432,0.15098143516949059
3012,0.124,0.12512643678160917,0.1350328984171092,0.35927263490213784,0.006113200000000004,0.007484093305923831,0.005779600000000001,0.2965149638774842,0.4500000000771754,0.1381707819683419,0.11891210973719017,0.15038140203707834
3013,0.1404,0.13914974619289341,0.14062309954446342,0.36989597365615245,0.005808000000000002,0.006636,0.0061464000000000015,0.31462912406616483,0.4500000000245619,0.1433864420239628,0.12323905709229331,0.15416018714030313
3014,0.13099999999999998,0.13310101010101014,0.13428967562354846,0.35840303093364084,0.005864000000000003,0.006626200000000002,0.005270000000000001,0.29528514718410137,0.4500000000206221,0.1374455698110254,0.11820537246749314,0.1497611609072005
3015,0.142,0.15293246993524515,0.14099129979935698,0.3706052025413344,0.006090000000000003,0.008514600000000006,0.006400800000000003,0.3133458964554505,0.4500000000958856,0.14385426510365115,0.12380433213374761,0.15465671016340052
3016,0.13280000000000003,0.13314176245210727,0.14040123842302732,0.3694571655585719,0.005746000000000001,0.007468600000000004,0.006270800000000002,0.3130636265565646,0.4500000000879276,0.14322091537312767,0.12316945160967357,0.1540948757761636
3017,0.143,0.13895127118644066,0.13921730443723332,0.3671919464865771,0.005722400000000005,0.008129400000000004,0.0059688000000000015,0.30907397569958944,0.45000000007287544,0.1421232029765827,0.12227977731099772,0.15330990687456192
3018,0.127,0.1293711467324291,0.13521160247525735,0.3597275894024783,0.005804800000000004,0.006721400000000004,0.0057644,0.2980398229738084,0.4499999999492802,0.13829599079669083,0.11894711242540225,0.15040762017280454
3019,0.1418,0.1457349665924276,0.1385673772401045,0.36576942691858183,0.006127600000000004,0.007106800000000003,0.005772995006587236,0.3080600642753535,0.4500000000924651,0.14145284537226593,0.12163769253657962,0.15276137082181568
3020,0.1296,0.11956609485368315,0.13926927374857823,0.3669784346477982,0.0066768000000000036,0.007143400000000003,0.006266800000000002,0.30928093409509283,0.4500000001567019,0.1421541487762135,0.12227743971392674,0.15334118035473915
3021,0.13119999999999998,0.13157110091743118,0.1364334920032455,0.36244557124802773,0.005595200000000002,0.006240200000000002,0.005903200000000002,0.3019832887681999,0.4500000000182673,0.13945660612723693,0.11989141232675009,0.15123516312825228
3022,0.1316,0.14646948356807513,0.1341058651091594,0.35784407055193357,0.005107600000000002,0.006727000000000003,0.005830800000000001,0.2950198549938634,0.4500000001221715,0.1372470758870629,0.11804685412068898,0.14960387962199018
3023,0.1408,0.1436647727272727,0.13761938302366875,0.36530813607770996,0.005703600000000003,0.0068654000000000015,0.005612400000000003,0.30460737904063395,0.4499999998687455,0.14065442087552257,0.12094381942197226,0.15215864510647995
3024,0.1422,0.14288242730720607,0.1351126044473335,0.3597142007045185,0.006163200000000003,0.0062930000000000035,0.005981600000000001,0.29741102153214904,0.4500000000520382,0.13822776340595197,0.11888535873885192,0.15037150229932242
3025,0.14400000000000002,0.14711352657004834,0.13586973638840308,0.36150235772688766,0.005245200000000002,0.007195000000000004,0.005496000000000002,0.2999101242151278,0.4499999999967878,0.13894934806399106,0.11950469360573061,0.1508787239665691
3026,0.12119999999999999,0.11985611510791365,0.13302044972765473,0.35563514164342824,0.006144000000000005,0.006301600000000001,0.005393200000000002,0.2916283069948454,0.4500000000576117,0.1362207914600839,0.11716281600093566,0.14885761903393135
3027,0.12960000000000002,0.12574338085539716,0.1363124194112312,0.3624850584749353,0.005618800000000003,0.006570200000000002,0.005310400000000002,0.3015776385812207,0.4500000000062465,0.13935779040591692,0.11980492549423227,0.15115465555373378
3028,0.134,0.13560493827160494,0.1346346290189874,0.3590214813051851,0.005936800000000004,0.006305600000000002,0.005644,0.2962652637897519,0.4499999999492236,0.13777243989475904,0.11847894154191098,0.15000810263493458
3029,0.1388,0.14835738068812432,0.14057702369507932,0.369556926487704,0.006310400000000005,0.008045443235592906,0.0059376,0.3130347487520997,0.4500000000044759,0.14340313258185952,0.12336595205408914,0.15427354882031696
3030,0.1222,0.12377750611246946,0.13335068554807308,0.3567050324538476,0.005287200000000003,0.006294000000000002,0.005314400000000001,0.2931527952865179,0.4500000000551632,0.1365282974064396,0.11739061057422864,0.14903540602493762
3031,0.1374,0.1365830721003135,0.133421435788098,0.35686450761793126,0.005779200000000003,0.0058102,0.005416800000000002,0.29323647132255887,0.4500000000501022,0.13660283760286665,0.11744055223465194,0.14909778866085235
3032,0.14740000000000003,0.14634730538922158,0.14099188945184182,0.3703198539134594,0.006567200000000004,0.007306012390179387,0.006596400000000003,0.3141699809555705,0.4500000000297741,0.1437993830997363,0.1236888565492726,0.15457489135926225
3033,0.1348,0.1410599078341014,0.1349768855833171,0.3592070814534232,0.0057408000000000025,0.007232000000000004,0.005693600000000002,0.2970109464631622,0.44999999999268503,0.13808669233283014,0.11880330349533258,0.15027579093626936
3034,0.1374,0.1379548156956005,0.13575417433058576,0.3612135880154949,0.005348000000000004,0.0064464000000000014,0.005506,0.3002568836374341,0.44999999997925116,0.13880200954948885,0.11932587139990097,0.1507284859647675
3035,0.132,0.13221260815822006,0.14031611861095086,0.3695403982741607,0.0058360000000000035,0.007058800000000005,0.006228800000000001,0.3129165947805936,0.44999999997725987,0.1431473087856292,0.12308052699398661,0.1540244591306175
3036,0.13360000000000002,0.1276781857451404,0.13713686037546208,0.36353677393079536,0.0058068000000000035,0.0067588000000000014,0.0059812000000000025,0.30360072794651516,0.44999999997450707,0.1401336626746761,0.1205095136183568,0.1517767875782613
3037,0.141,0.1490718232044199,0.13957536748996724,0.3681580911738458,0.005587600000000005,0.007625200000000004,0.005802800000000004,0.3107031462759904,0.4500000000649081,0.14244811473486002,0.12250334161136493,0.153505052868859
3038,0.12540000000000004,0.12669540229885057,0.13437971740107538,0.3585259706416025,0.005271600000000004,0.006480600000000003,0.005317600000000002,0.2963028163637743,0.4500000001002856,0.1374908751149668,0.11821158750480545,0.1497494357747265
3039,0.1326,0.13561488673139158,0.13732315707820733,0.3637500689346282,0.0054404000000000015,0.006854600000000004,0.005957200000000003,0.30461351645640833,0.44999999996884227,0.14027998470211833,0.12062240514038723,0.1518618054294507
3040,0.12960000000000002,0.12699714013346042,0.13441179875427056,0.3585279114464267,0.005645600000000004,0.006463800000000002,0.005672400000000002,0.29574928232492614,0.4499999999021268,0.13755073021034564,0.118294414397205,0.14983687051199066
3041,0.1302,0.12689912826899127,0.13443595399584277,0.3594635106691955,0.0054864000000000015,0.006242000000000002,0.0056732000000000015,0.2953146593100184,0.4500000000298035,0.13764339656380165,0.11836319546442521,0.1499044880678213
3042,0.13180000000000003,0.12832264957264958,0.13810621711029547,0.3650757547443867,0.006129200000000005,0.007147800000000003,0.0056264,0.3065519308070906,0.45000000002399415,0.14103240830716027,0.12128201774061592,0.1524510240319858
3043,0.1238,0.12488549618320612,0.13350000734505102,0.35693688833496606,0.005099600000000003,0.006239000000000003,0.004891200000000001,0.2943333483902888,0.45000000006670676,0.13663018434228488,0.11743946124052719,0.14906667251269282
3044,0.13880000000000003,0.1383816964285714,0.13504503856136238,0.3599219688543089,0.005653600000000004,0.0059612000000000024,0.005794800000000002,0.297893623952503,0.4500000000929877,0.13814645580645266,0.1187663320222483,0.15025567617541083
3045,0.13079999999999997,0.12111471861471859,0.13871507835573765,0.3662161797568226,0.0061300000000000035,0.006809400000000002,0.006347200000000002,0.3080726120218657,0.45000000002822,0.1416222567424855,0.12179291298912485,0.15290781715637308
3046,0.12780000000000002,0.12598599766627772,0.1364818546187385,0.3624826015935289,0.005024800000000003,0.006548400000000002,0.005900800000000001,0.30245267150016353,0.450000000004043,0.13948335112340673,0.11991524493059598,0.15123658746912644
3047,0.1292,0.12962168978562422,0.1408233664822648,0.3698936536995911,0.006160000000000002,0.007961800000000005,0.006285600000000003,0.3138157787117329,0.4500000000302064,0.1436272602316577,0.12356016125931797,0.15444178861411215
3048,0.13440000000000002,0.12733395696913,0.14098512297253912,0.3704930089575711,0.006150400000000004,0.007674800000000005,0.006207600000000003,0.3143998059051247,0.4499999998881769,0.14378978312516144,0.1236741426792806,0.15454514237084438
3049,0.13720000000000002,0.14404872389791185,0.1357039323135712,0.3607323232758969,0.006050000000000003,0.006485400000000002,0.005873600000000004,0.29937833829195903,0.44999999995045825,0.13877163156276806,0.11934519971573236,0.1507660984794211
