code,scenario,seed,framework,classification_agreement,minimum_required_agreement,accepted
P13,strict_partition,9010,DMM,1.0,0.85,True
P13,strict_partition,9010,ISF,1.0,0.85,True
P13,strict_partition,9011,DBL,1.0,0.85,True
P13,strict_partition,9011,DMM,1.0,0.85,True
P13,strict_partition,9011,ISF,1.0,0.85,True
P13,strict_partition,9012,DBL,1.0,0.85,True
P13,strict_partition,9012,DMM,1.0,0.85,True
P13,strict_partition,9012,ISF,1.0,0.85,True
P13,strict_partition,9013,DBL,0.96,0.85,True
P13,strict_partition,9013,DMM,0.98,0.85,True
P13,strict_partition,9013,ISF,0.96,0.85,True
P13,strict_partition,9014,DBL,1.0,0.85,True
P13,strict_partition,9014,DMM,1.0,0.85,True
P13,strict_partition,9014,ISF,1.0,0.85,True
P13,strict_partition,9015,DBL,0.98,0.85,True
P13,strict_partition,9015,DMM,0.98,0.85,True
P13,strict_partition,9015,ISF,0.98,0.85,True
P13,strict_partition,9016,DBL,1.0,0.85,True
P13,strict_partition,9016,DMM,1.0,0.85,True
P13,strict_partition,9016,ISF,1.0,0.85,True
P13,strict_partition,9017,DBL,1.0,0.85,True
P13,strict_partition,9017,DMM,1.0,0.85,True
P13,strict_partition,9017,ISF,1.0,0.85,True
P13,strict_partition,9018,DBL,0.98,0.85,True
P13,strict_partition,9018,DMM,1.0,0.85,True
P13,strict_partition,9018,ISF,0.98,0.85,True
P13,strict_partition,9019,DBL,1.0,0.85,True
P13,strict_partition,9019,DMM,1.0,0.85,True
P13,strict_partition,9019,ISF,1.0,0.85,True
P13,strict_partition,9020,DBL,1.0,0.85,True
P13,strict_partition,9020,DMM,1.0,0.85,True
P13,strict_partition,9020,ISF,1.0,0.85,True
P13,strict_partition,9021,DBL,1.0,0.85,True
P13,strict_partition,9021,DMM,1.0,0.85,True
P13,strict_partition,9021,ISF,1.0,0.85,True
P13,strict_partition,9022,DBL,0.98,0.85,True
P13,strict_partition,9022,DMM,1.0,0.85,True
P13,strict_partition,9022,ISF,0.98,0.85,True
P13,strict_partition,9023,DBL,1.0,0.85,True
P13,strict_partition,9023,DMM,1.0,0.85,True
P13,strict_partition,9023,ISF,1.0,0.85,True
P13,strict_partition,9024,DBL,0.96,0.85,True
P13,strict_partition,9024,DMM,1.0,0.85,True
P13,strict_partition,9024,ISF,0.96,0.85,True
P13,strict_partition,9025,DBL,0.98,0.85,True
P13,strict_partition,9025,DMM,1.0,0.85,True
P13,strict_partition,9025,ISF,0.98,0.85,True
P13,strict_partition,9026,DBL,0.98,0.85,True
P13,strict_partition,9026,DMM,1.0,0.85,True
P13,strict_partition,9026,ISF,0.98,0.85,True
P13,strict_partition,9027,DBL,1.0,0.85,True
P13,strict_partition,9027,DMM,1.0,0.85,True
P13,strict_partition,9027,ISF,1.0,0.85,True
P13,strict_partition,9028,DBL,0.98,0.85,True
P13,strict_partition,9028,DMM,1.0,0.85,True
P13,strict_partition,9028,ISF,0.98,0.85,True
P13,strict_partition,9029,DBL,1.0,0.85,True
P13,strict_partition,9029,DMM,1.0,0.85,True
P13,strict_partition,9029,ISF,1.0,0.85,True
