code,scenario,framework,absolute_E_GMI_difference,maximum_allowed_E_GMI_difference,absolute_threshold_difference,maximum_allowed_threshold_difference,ranking_match_fraction,minimum_required_ranking_match_fraction,mean_dimension_rank_correlation,minimum_required_dimension_rank_correlation,accepted
P4,D3_equal,DBL,0.0002228672968634382,0.02,0.0,0.1,1.0,0.9,0.18466502076959365,0.9,False
P4,D3_equal,DMM,0.00022714141816303213,0.02,0.0,0.1,1.0,0.9,0.18466502076959365,0.9,False
P4,D3_equal,ISF,0.00017809339549640368,0.02,0.0,0.1,1.0,0.9,0.18466502076959365,0.9,False
P4,D3_freshness_heavy,DBL,0.0003014390327157612,0.02,0.0,0.1,1.0,0.9,0.2367868471602321,0.9,False
P4,D3_freshness_heavy,DMM,0.000271792381467989,0.02,0.0,0.1,1.0,0.9,0.2367868471602321,0.9,False
P4,D3_freshness_heavy,ISF,0.00022503605030499418,0.02,0.0,0.1,1.0,0.9,0.2367868471602321,0.9,False
P4,D3_lineage_heavy,DBL,3.107910139968362e-05,0.02,0.0,0.1,1.0,0.9,0.25640345354770955,0.9,False
P4,D3_lineage_heavy,DMM,1.5951120142423947e-05,0.02,0.0,0.1,1.0,0.9,0.25640345354770955,0.9,False
P4,D3_lineage_heavy,ISF,2.1173505371785417e-05,0.02,0.0,0.1,1.0,0.9,0.25640345354770955,0.9,False
P5,D4_consent_heavy,DBL,0.0004272686897551503,0.02,0.0,0.1,1.0,0.9,0.2752825554055952,0.9,False
P5,D4_consent_heavy,DMM,0.00040590171111121176,0.02,0.0,0.1,1.0,0.9,0.2752825554055952,0.9,False
P5,D4_consent_heavy,ISF,0.0003466722905115238,0.02,0.0,0.1,1.0,0.9,0.2752825554055952,0.9,False
P5,D4_equal,DBL,0.000305106188905363,0.02,0.0,0.1,1.0,0.9,0.22610292998120188,0.9,False
P5,D4_equal,DMM,0.0003170697435605496,0.02,0.0,0.1,1.0,0.9,0.22610292998120188,0.9,False
P5,D4_equal,ISF,0.00026267538885274555,0.02,0.0,0.1,1.0,0.9,0.22610292998120188,0.9,False
P5,D4_rule_heavy,DBL,0.000502241762886213,0.02,0.0,0.1,1.0,0.9,0.2225298381559405,0.9,False
P5,D4_rule_heavy,DMM,0.0004966054728405,0.02,0.0,0.1,1.0,0.9,0.2225298381559405,0.9,False
P5,D4_rule_heavy,ISF,0.00042071331074797214,0.02,0.0,0.1,1.0,0.9,0.2225298381559405,0.9,False
P6,D5_api_heavy,DBL,0.014800183305153286,0.02,0.0,0.1,1.0,0.9,0.6156030412164867,0.9,False
P6,D5_api_heavy,DMM,0.012091210777454911,0.02,0.0,0.1,1.0,0.9,0.6156030412164867,0.9,False
P6,D5_api_heavy,ISF,0.010244410141351079,0.02,0.0,0.1,1.0,0.9,0.6156030412164867,0.9,False
P6,D5_equal,DBL,0.005121906185450997,0.02,0.0,0.1,1.0,0.9,0.6147386954781913,0.9,False
P6,D5_equal,DMM,0.004148889474714715,0.02,0.0,0.1,1.0,0.9,0.6147386954781913,0.9,False
P6,D5_equal,ISF,0.0035167290555383757,0.02,0.0,0.1,1.0,0.9,0.6147386954781913,0.9,False
P6,D5_reconciliation_heavy,DBL,0.016908699567446978,0.02,0.0,0.1,1.0,0.9,0.4923377350940376,0.9,False
