code,scenario,seed,dimension,spearman_rank_correlation,accepted
P3,D2_incident_heavy,9019,D2,0.35427506551287297,False
P3,D2_incident_heavy,9020,D2,0.1261847025681626,False
P3,D2_incident_heavy,9021,D2,0.5158082682179911,False
P3,D2_incident_heavy,9022,D2,0.06853235412874656,False
P3,D2_incident_heavy,9023,D2,-0.029744113078679905,False
P3,D2_incident_heavy,9024,D2,0.24392056724428016,False
P3,D2_incident_heavy,9025,D2,0.36820719735328056,False
P3,D2_incident_heavy,9026,D2,0.24144129213901777,False
P3,D2_incident_heavy,9027,D2,0.207347887603437,False
P3,D2_incident_heavy,9028,D2,0.12385968391604904,False
P3,D2_incident_heavy,9029,D2,0.1605177799946119,False
P4,D3_equal,9000,D3,-0.04175572226555245,False
P4,D3_equal,9001,D3,0.20268870683462198,False
P4,D3_equal,9002,D3,0.03285136768905167,False
P4,D3_equal,9003,D3,0.1440789276142611,False
P4,D3_equal,9004,D3,-0.13942305561982346,False
P4,D3_equal,9005,D3,-0.023472061419754445,False
P4,D3_equal,9006,D3,0.2103366904193011,False
P4,D3_equal,9007,D3,0.175376134236601,False
P4,D3_equal,9008,D3,0.38718871578715514,False
P4,D3_equal,9009,D3,0.3827635805213804,False
P4,D3_equal,9010,D3,0.17264927041452946,False
P4,D3_equal,9011,D3,0.16100197702599814,False
P4,D3_equal,9012,D3,0.33830585653265266,False
P4,D3_equal,9013,D3,0.2725529054640617,False
P4,D3_equal,9014,D3,-0.08438059296185753,False
P4,D3_equal,9015,D3,0.08489579002048121,False
P4,D3_equal,9016,D3,0.21264044594342468,False
P4,D3_equal,9017,D3,0.20304098225494768,False
P4,D3_equal,9018,D3,0.10659828413061914,False
P4,D3_equal,9019,D3,-0.03701088465945368,False
P4,D3_equal,9020,D3,-0.11434813162765654,False
P4,D3_equal,9021,D3,0.09098217616596697,False
P4,D3_equal,9022,D3,0.4979598034948628,False
P4,D3_equal,9023,D3,0.06132750231629001,False
P4,D3_equal,9024,D3,0.38556037977537055,False
P4,D3_equal,9025,D3,0.26747436171000094,False
P4,D3_equal,9026,D3,0.2773451158691005,False
P4,D3_equal,9027,D3,0.06731599424655128,False
P4,D3_equal,9028,D3,0.9972869531514945,True
P4,D3_equal,9029,D3,0.24811915002318294,False
P4,D3_lineage_heavy,9000,D3,-0.0681429663822945,False
P4,D3_lineage_heavy,9001,D3,0.26565006254806006,False
P4,D3_lineage_heavy,9002,D3,0.15678621998275605,False
P4,D3_lineage_heavy,9003,D3,0.26655701186386804,False
P4,D3_lineage_heavy,9004,D3,0.19003539408457779,False
P4,D3_lineage_heavy,9005,D3,0.7432631627848136,False
P4,D3_lineage_heavy,9006,D3,0.14495993150043793,False
P4,D3_lineage_heavy,9007,D3,0.16536118800323968,False
P4,D3_lineage_heavy,9008,D3,0.16447992195037642,False
P4,D3_lineage_heavy,9009,D3,0.4194926717753964,False
P4,D3_lineage_heavy,9010,D3,0.3004818769195208,False
P4,D3_lineage_heavy,9011,D3,0.24107933423834696,False
P4,D3_lineage_heavy,9012,D3,0.2927270566497499,False
P4,D3_lineage_heavy,9013,D3,-0.04550446481475821,False
P4,D3_lineage_heavy,9014,D3,0.38515736515431204,False
P4,D3_lineage_heavy,9015,D3,-0.01721412782006962,False
P4,D3_lineage_heavy,9016,D3,0.18515771219001165,False
P4,D3_lineage_heavy,9017,D3,0.06425926534349105,False
P4,D3_lineage_heavy,9018,D3,0.32646105812065535,False
P4,D3_lineage_heavy,9019,D3,0.10144337022351704,False
P4,D3_lineage_heavy,9020,D3,-0.16063734001476082,False
P4,D3_lineage_heavy,9021,D3,0.279566399434025,False
P4,D3_lineage_heavy,9022,D3,0.20173882944553811,False
P4,D3_lineage_heavy,9023,D3,0.18837891198781345,False
P4,D3_lineage_heavy,9024,D3,0.22364931734253363,False
P4,D3_lineage_heavy,9025,D3,0.943131872587312,True
