code,scenario,framework,E_GMI_mean,E_GMI_ci_lower,E_GMI_ci_upper,threshold_mean,threshold_ci_lower,threshold_ci_upper,success_rate_mean,ranking_match_fraction_within_scenario,seed_count
P4,D3_freshness_heavy,DBL,0.14458935423184557,0.1435551878016014,0.14562352066208975,0.0,0.0,0.0,0.13829333333333332,1.0,30
P4,D3_freshness_heavy,DMM,0.12448590970951616,0.12351307408475624,0.12545874533427606,0.0,0.0,0.0,0.13829333333333332,1.0,30
P4,D3_freshness_heavy,ISF,0.15523231815588426,0.15438572361426417,0.15607891269750435,0.0,0.0,0.0,0.13829333333333332,1.0,30
P4,D3_lineage_heavy,DBL,0.14492187236596102,0.1439457635623333,0.14589798116958874,0.0,0.0,0.0,0.13922666666666664,1.0,30
P4,D3_lineage_heavy,DMM,0.12477365321112657,0.12388339557348989,0.12566391084876327,0.0,0.0,0.0,0.13922666666666664,1.0,30
P4,D3_lineage_heavy,ISF,0.15547852771156104,0.15469958276114565,0.15625747266197643,0.0,0.0,0.0,0.13922666666666664,1.0,30
P4,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P4,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P4,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P5,D4_consent_heavy,DBL,0.14446352457480618,0.1435265203827178,0.14540052876689458,0.0,0.0,0.0,0.13908,1.0,30
P5,D4_consent_heavy,DMM,0.12435180037987294,0.12350056985617065,0.12520303090357524,0.0,0.0,0.0,0.13908,1.0,30
P5,D4_consent_heavy,ISF,0.15511068191567773,0.15436221357220023,0.15585915025915523,0.0,0.0,0.0,0.13908,1.0,30
P5,D4_equal,DBL,0.14458568707565597,0.14369361238903514,0.1454777617622768,0.0,0.0,0.0,0.13861333333333337,1.0,30
P5,D4_equal,DMM,0.1244406323474236,0.12362524484408566,0.12525601985076154,0.0,0.0,0.0,0.13861333333333337,1.0,30
P5,D4_equal,ISF,0.1551946788173365,0.1544847550807399,0.15590460255393312,0.0,0.0,0.0,0.13861333333333337,1.0,30
P5,D4_rule_heavy,DBL,0.14438855150167512,0.14350864394839993,0.1452684590549503,0.0,0.0,0.0,0.13945333333333335,1.0,30
P5,D4_rule_heavy,DMM,0.12426109661814365,0.12348391356179028,0.12503827967449702,0.0,0.0,0.0,0.13945333333333335,1.0,30
P5,D4_rule_heavy,ISF,0.15503664089544128,0.1543475838513158,0.15572569793956675,0.0,0.0,0.0,0.13945333333333335,1.0,30
P5,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P5,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P5,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P6,D5_api_heavy,DBL,0.15969097656971462,0.15865479789544912,0.16072715524398012,0.0,0.0,0.0,0.15650666666666666,1.0,30
P6,D5_api_heavy,DMM,0.13684891286843906,0.13584031824228252,0.1378575074945956,0.0,0.0,0.0,0.15650666666666666,1.0,30
P6,D5_api_heavy,ISF,0.16570176434754033,0.16481850410558688,0.16658502458949379,0.0,0.0,0.0,0.15650666666666666,1.0,30
P6,D5_equal,DBL,0.15001269945001233,0.14910516259662027,0.1509202363034044,0.0,0.0,0.0,0.14558666666666667,1.0,30
P6,D5_equal,DMM,0.12890659156569886,0.128066665996218,0.12974651713517973,0.0,0.0,0.0,0.14558666666666667,1.0,30
P6,D5_equal,ISF,0.15897408326172763,0.1582364476064996,0.15971171891695565,0.0,0.0,0.0,0.14558666666666667,1.0,30
P6,D5_reconciliation_heavy,DBL,0.12798209369711436,0.12700349565807303,0.12896069173615568,0.0,0.0,0.0,0.11934666666666667,1.0,30
