code,scenario,seed,framework,shock_type,impact,affected_organizations,affected_fraction,mean_dimension_loss,maximum_dimension_loss,pre_shock_E_GMI,post_shock_E_GMI,immediate_E_GMI_loss,pre_shock_ranking,post_shock_ranking,ranking_preserved
P12,network_m_3,9001,ISF,security,0.3,50,1.0,0.004800000000000003,0.022000000000000013,0.1556327535290876,0.1546727535290876,0.0009599999999999886,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9002,DBL,security,0.3,50,1.0,0.005680000000000003,0.020000000000000014,0.14431721187496943,0.14318121187496943,0.0011359999999999981,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9002,DMM,security,0.3,50,1.0,0.005680000000000003,0.020000000000000014,0.12417973416622269,0.12304373416622269,0.0011359999999999981,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9002,ISF,security,0.3,50,1.0,0.005680000000000003,0.020000000000000014,0.15497927599919642,0.15384327599919642,0.0011359999999999981,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9003,DBL,security,0.3,50,1.0,0.007500000000000003,0.07499999999999996,0.15320568965725426,0.15170568965725426,0.0015000000000000013,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9003,DMM,security,0.3,50,1.0,0.007500000000000003,0.07499999999999996,0.1324652451867341,0.13096524518673414,0.0014999999999999736,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9003,ISF,security,0.3,50,1.0,0.007500000000000003,0.07499999999999996,0.1621968216202695,0.16069682162026946,0.001500000000000029,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9004,DBL,security,0.3,50,1.0,0.005160000000000002,0.02000000000000001,0.1423518286012461,0.14131982860124612,0.0010319999999999774,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9004,DMM,security,0.3,50,1.0,0.005160000000000002,0.02000000000000001,0.12242524187277783,0.12139324187277781,0.001032000000000019,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9004,ISF,security,0.3,50,1.0,0.005160000000000002,0.02000000000000001,0.15340904186555918,0.15237704186555917,0.0010320000000000051,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9005,DBL,security,0.3,50,1.0,0.007139694785454195,0.05400000000000006,0.14388253434215809,0.14245459538506725,0.0014279389570908407,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9005,DMM,security,0.3,50,1.0,0.007139694785454195,0.05400000000000006,0.12402765190657422,0.12259971294948337,0.0014279389570908546,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9005,ISF,security,0.3,50,1.0,0.007139694785454195,0.05400000000000006,0.15484226157954223,0.1534143226224514,0.0014279389570908407,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9006,DBL,security,0.3,50,1.0,0.004680000000000003,0.022000000000000013,0.14832251326351667,0.14738651326351668,0.0009359999999999924,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9006,DMM,security,0.3,50,1.0,0.004680000000000003,0.022000000000000013,0.12779093609241615,0.12685493609241616,0.0009359999999999924,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9006,ISF,security,0.3,50,1.0,0.004680000000000003,0.022000000000000013,0.1580778145890152,0.15714181458901522,0.0009359999999999924,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9007,DBL,security,0.3,50,1.0,0.005640000000000003,0.022000000000000013,0.14513374264002427,0.14400574264002425,0.0011280000000000179,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9007,DMM,security,0.3,50,1.0,0.005640000000000003,0.022000000000000013,0.12474408274126102,0.12361608274126101,0.001128000000000004,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9007,ISF,security,0.3,50,1.0,0.005640000000000003,0.022000000000000013,0.15548297785313175,0.15435497785313174,0.0011280000000000179,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9008,DBL,security,0.3,50,1.0,0.006027053851002383,0.03907957696383156,0.14250437516961045,0.14129896439941,0.001205410770200449,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9008,DMM,security,0.3,50,1.0,0.006027053851002383,0.03907957696383156,0.12278590753059218,0.12158049676039172,0.001205410770200463,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9008,ISF,security,0.3,50,1.0,0.006027053851002383,0.03907957696383156,0.15371435613824116,0.15250894536804066,0.0012054107702005046,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9009,DBL,security,0.3,50,1.0,0.00527648301820125,0.03400000000000003,0.1461022251236326,0.14504692851999235,0.00105529660364026,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9009,DMM,security,0.3,50,1.0,0.00527648301820125,0.03400000000000003,0.12609583969722324,0.12504054309358298,0.00105529660364026,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_3,9009,ISF,security,0.3,50,1.0,0.00527648301820125,0.03400000000000003,0.15656034035138874,0.15550504374774848,0.00105529660364026,ISF>DBL>DMM,ISF>DBL>DMM,True
